Дата,Доллар США,Евро,Японская иена,Украинская гривна
01.01.2021,73.87,90.79,0.71,2.6
12.01.2021,74.51,90.81,0.71,2.63
13.01.2021,74.26,90.32,0.71,2.64
14.01.2021,73.52,89.78,0.7,2.62
15.01.2021,73.79,89.64,0.7,2.63
16.01.2021,73.54,89.25,0.7,2.62
19.01.2021,73.97,89.33,0.71,2.62
20.01.2021,73.72,89.2,0.7,2.61
21.01.2021,73.35,89.14,0.7,2.6
22.01.2021,73.36,88.96,0.7,2.59
23.01.2021,74.36,90.4,0.71,2.64
26.01.2021,74.85,91.14,0.72,2.65
27.01.2021,75.63,91.67,0.72,2.68
28.01.2021,75.04,91.21,0.72,2.66
29.01.2021,76.18,92.13,0.73,2.7
30.01.2021,76.25,92.29,0.72,2.7
02.02.2021,75.5,91.54,0.72,2.68
03.02.2021,75.9,91.62,0.72,2.7
04.02.2021,76.08,91.56,0.72,2.71
05.02.2021,75.72,90.92,0.71,2.71
06.02.2021,75.11,89.88,0.71,2.7
09.02.2021,74.26,89.4,0.7,2.68
10.02.2021,74.11,89.52,0.7,2.68
11.02.2021,73.85,89.56,0.7,2.66
12.02.2021,73.75,89.43,0.7,2.64
13.02.2021,73.93,89.6,0.7,2.65
16.02.2021,73.3,88.97,0.69,2.61
17.02.2021,73.28,88.94,0.69,2.63
18.02.2021,73.76,89.08,0.69,2.64
19.02.2021,73.77,88.87,0.69,2.64
20.02.2021,73.97,89.54,0.7,2.65
21.02.2021,73.98,89.66,0.7,2.65
25.02.2021,73.75,89.66,0.69,2.64
26.02.2021,73.47,89.49,0.69,2.62
27.02.2021,74.43,90.37,0.7,2.66
02.03.2021,74.04,89.44,0.69,2.64
03.03.2021,74.57,89.56,0.69,2.66
04.03.2021,73.51,88.87,0.68,2.63
05.03.2021,73.78,88.94,0.68,2.65
06.03.2021,74.42,88.93,0.68,2.68
10.03.2021,74.26,88.17,0.68,2.67
11.03.2021,74.03,87.95,0.68,2.67
12.03.2021,73.49,87.75,0.67,2.64
13.03.2021,73.5,87.79,0.67,2.65
16.03.2021,73.23,87.35,0.67,2.64
17.03.2021,72.96,86.98,0.66,2.64
18.03.2021,73.1,86.96,0.66,2.64
19.03.2021,73.65,88.11,0.67,2.66
20.03.2021,74.13,88.43,0.68,2.67
23.03.2021,74.6,88.65,0.68,2.69
24.03.2021,75.35,89.76,0.69,2.72
25.03.2021,76.15,90.05,0.7,2.73
26.03.2021,76.17,89.97,0.69,2.72
27.03.2021,75.75,89.25,0.69,2.7
30.03.2021,75.82,89.34,0.69,2.71
31.03.2021,75.7,88.88,0.68,2.71
01.04.2021,75.63,88.74,0.68,2.71
02.04.2021,75.8,88.95,0.68,2.72
03.04.2021,76.07,89.59,0.68,2.72
06.04.2021,76.6,89.99,0.69,2.74
07.04.2021,76.38,90.18,0.69,2.74
08.04.2021,77.77,92.33,0.7,2.78
09.04.2021,77.1,91.61,0.7,2.75
